site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno
Bath Fixed,16008418,6,2,SCB,08/02/2006,07:30,08/02/2006,07:45,LG,I113.0T,D,2,,5.0,M-,200,0,15,5900,5760,180,,32.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,1,1.0,16,,31.5,,1.50,,753,,0.02,,4.9,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,142,,1,1,62,SVCP,520,T,1,1,, ,  ,          I,,,0,2601
BATH CHUTE,16013542,6,0,SCB,08/06/2018,08:44,08/07/2018,08:07,LG,M10.RS,M,2,,5.0,M-,,23,23,,,,,,,,,,,15,743633,4454965,,743633,4454965,2,1.0,19,,27.6,,1.40,,803,,0.07,,6.1,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,529,,1,1,8,SVCP,60,T,1,4,,,,,,,0,2716
MEYERS DITCH,16013664,6,1,BWC-S,09/27/2018,13:35,09/27/2018,13:50,LG,F128A.RS,D,3,,5.0,M-,200,0,15,4053,4000,200,,20.00,,60.00,,25,,15,756983,4476515,,756983,4476515,2,1.0,18,,20.6,,0.80,,500,,0.00,,11.8,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,78,,1,1,2,SVCP,582,T,,1,2204.00,,,,,,0,2716
RM 107,16014502,6,0,MCB-U,08/14/2020,12:48,08/14/2020,13:03,LG,D9.RS,D,2,,5.0,M-,200,0,15,5495,5600,200,,28.00,,60.00,,25,,15,738183,4449565,,738183,4449565,2,1.0,29,,28.3,,2.50,,728,,0.25,,12.9,,,,,,,0,2,0,0,0,0,0,0,0,0,,1,,127,,1,1,9,SVCP,625,T,,1,2763.00, ,  ,    F,,,0,2718
LILLY LAKE,16014558,6,1,BWC-S,08/03/2020,09:42,08/03/2020,09:57,LG,F360A.RS,D,2,,5.0,M-,200,0,15,4670,4750,190,,25.00,,60.00,,25,,15,714883,4430715,,714883,4430715,2,1.0,14,,25.7,,0.50,,585,,0.02,,10.5,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,539,,1,1,1,SVCP,567,T,,1,1553.00, ,  ,    M,,,0,2718
RM 140,16013155,6,0,MCB-U,09/13/2017,12:49,09/15/2017,07:49,LG,HL4.RS,HL,2,,5.0,M-,,43,0,,,,,,,,,,,15,767083,4490815,,767083,4490815,2,1.0,36,,21.9,,1.80,,800,,0.19,,7.4,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,9,,1,1,8,SVCP,600,T,1,1,,,,,,,0,2715
TOWHEAD,16013165,6,0,SCB,10/17/2017,12:44,10/17/2017,12:59,LG,D14.RS,D,3,,5.0,M-,200,0,15,4994,4800,200,,24.00,,60.00,,25,,15,749983,4467365,,749983,4467365,2,1.0,13,,16.7,,1.30,,785,,,5,8.6,,,,,,,0,2,1,0,0,0,0,0,1,0,,0,,108,,1,1,4,SVCP,559,T,,1,1609.00,,,,,,0,2715
GRAPE/BAR,16013392,6,0,SCB,09/19/2017,09:50,09/19/2017,10:05,LG,D23.RS,D,3,,5.0,M-,200,0,15,5515,5580,180,,31.00,,60.00,,25,,15,716433,4431465,,716433,4431465,2,1.0,19,,23.6,,1.50,,789,,0.23,,5.9,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,55,,1,1,17,SVCP,610,T,,1,2474.00,,,,,,0,2715
BATH CHUTE,16013410,6,0,SCB,09/25/2017,09:12,09/25/2017,09:27,LG,D17.RS,D,3,,5.0,M-,200,0,15,5904,5760,180,,32.00,,60.00,,25,,15,743533,4455765,,743533,4455765,2,1.0,22,,27.2,,2.10,,823,,0.20,,5.2,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,117,,1,1,29,SVCP,576,T,,1,1876.00,,,,,,0,2715
RM 122,16013517,6,0,MCB-U,07/12/2018,07:15,07/12/2018,07:30,LG,D6.RS,D,1,,7.0,M-,200,0,15,5292,5365,185,,29.00,,60.00,,25,,15,750483,4468915,,750483,4468915,2,1.0,25,,29.9,,1.80,,664,,0.38,,5.5,,,,,,,0,2,1,0,0,0,1,0,1,0,,1,,722,,1,2,33,SVCP,10,T,1,73,,,,,,,0,2716
RM 122,16013517,6,0,MCB-U,07/12/2018,07:15,07/12/2018,07:30,LG,D6.RS,D,1,,7.0,M-,200,0,15,5292,5365,185,,29.00,,60.00,,25,,15,750483,4468915,,750483,4468915,2,1.0,25,,29.9,,1.80,,664,,0.38,,5.5,,,,,,,0,2,1,0,0,0,1,0,1,0,,1,,722,,1,2,36,SVCP,50,T,1,8,,,,,,,0,2716
BATH CHUTE,16011591,6,0,SCB,09/23/2013,13:30,09/23/2013,13:45,LG,D19.RS,D,3,,5.0,M-,200,0,15,5739,5800,200,,29.00,,60.00,,25,,15,741333,4451364,74135.45115,741332,4451364,2,1.0,14,,23.2,,2.40,,853,,0.23,,6.1,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,210,,1,1,9,SVCP,538,T,,1,1547.00,,,,,,0,2710
RM 107,16011596,6,0,MCB-U,09/24/2013,12:48,09/24/2013,13:03,LG,D9.RS,D,3,,5.0,M-,200,0,15,5610,5600,200,,28.00,,60.00,,25,,15,738233,4449564,73825.44935,738232,4449564,2,1.0,21,,22.3,,1.20,,842,,0.34,,6.8,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,129,,1,1,12,SVCP,525,T,,1,1525.00,,,,,,0,2710
RM 81,16011733,6,0,MCB-U,08/25/2014,09:20,08/26/2014,10:17,LG,M8.RS,M,2,,8.0,M-,,24,57,,,,,,,,,,,15,710884,4424915,,710884,4424915,2,1.0,13,,28.0,,1.20,,743,,0.40,,3.0,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,1308,,1,1,152,SVCP,80,T,1,1,,,,,,,0,2711
RM 81,16011733,6,0,MCB-U,08/25/2014,09:20,08/26/2014,10:17,LG,M8.RS,M,2,,8.0,M-,,24,57,,,,,,,,,,,15,710884,4424915,,710884,4424915,2,1.0,13,,28.0,,1.20,,743,,0.40,,3.0,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,1308,,1,1,231,SVCP,70,T,1,1,,,,,,,0,2711
RM106,16011963,6,0,MCB-U,08/18/2014,11:04,08/19/2014,09:36,LG,M3.RS,M,2,,5.0,M-,,22,32,,,,,,,,,,,15,736583,4448065,,736583,4448065,2,1.0,20,,26.0,,0.80,,816,,0.04,,4.7,,,,,,,0,3,0,0,0,0,0,0,0,0,,1,,73,,1,2,37,SVCP,70,T,1,2,,,,,,,0,2711
CLEAR LAKE,16012131,6,0,BWC-S,08/05/2015,09:27,08/05/2015,09:42,LG,D27.RS,D,2,,5.0,M-,200,0,15,4422,4400,200,,22.00,,60.00,,25,,15,760683,4478415,76070.47840,760683,4478415,2,1.0,35,,27.0,,0.90,,523,,0.01,,15.0,,,,,,,0,1,0,0,0,0,0,0,1,0,,0,,286,,1,2,42,SVCP,110,T,1,2,,,,,,,0,2713
Peoria TWZ,16009796,6,2,TWZ,10/16/2009,11:10,10/16/2009,11:25,LG,I157.8Vb,D,3,,5.0,M-,200,0,15,4528,4620,210,,22.00,,60.00,,25,,16,277612,4500954,78510.50290,785073,4503092,2,1.0,22,,9.5,,1.70,,793,,0.15,,10.4,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,94,,1,1,3,SVCP,300,T,1,1,,,,,,,0,2706
BATH CHUTE,16010149,6,0,SCB,09/16/2010,12:01,09/16/2010,12:16,LG,D36.RS,D,3,,5.0,M-,200,0,15,5392,5304,221,,24.00,,60.00,,25,,15,738383,4449215,73840.44900,738383,4449215,2,1.0,18,,22.8,,0.50,,778,,0.12,,6.8,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,117,,1,1,32,SVCP,442,T,,1,836.00,,,,,,0,2707
MATANZAS,16010258,6,0,BWC-S,06/23/2011,10:00,06/23/2011,10:15,LG,D32.RS,D,1,,5.0,M-,200,0,15,4442,4625,185,,25.00,,60.00,,25,,15,745533,4458615,74555.45840,745533,4458615,2,1.0,50,,22.9,,2.60,,599,,0.02,5,5.4,,,,,,,0,1,0,0,0,0,0,0,1,0,,0,,24,,1,1,9,SVCP,460,T,1,1,,,,,,,0,2708
RM 142,16010313,6,0,MCB-U,07/13/2011,13:47,07/14/2011,14:23,LG,M3.RS,M,1,,5.0,M-,,24,36,,,,,,,,,,,15,768233,4491565,76825.49135,768233,4491565,2,1.0,33,,30.8,,1.10,,698,,0.25,,6.0,,,,,,,0,2,0,0,0,0,0,0,0,0,,1,,191,,1,2,32,SVCP,30,T,1,1,,,,,,,0,2708
RM 147,16010385,6,0,MCB-U,08/09/2011,10:45,08/09/2011,11:00,LG,D1.RS,D,2,,5.0,M-,200,0,15,5500,5590,215,,26.00,,60.00,,25,,15,776533,4494165,77655.49395,776533,4494165,2,1.0,27,,29.7,,2.20,,706,,0.25,9,4.8,,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,161,,1,1,61,SVCP,460,T,1,1,,,,,,,0,2708
BATH CHUTE,16011304,6,0,SCB,09/16/2013,09:18,09/16/2013,09:33,LG,D16.RS,D,3,,5.0,M-,200,0,15,5628,5670,210,,27.00,,60.00,,25,,15,743383,4455265,74340.45505,743382,4455265,2,1.0,16,,22.6,,2.30,,829,,0.20,,3.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,65,,1,1,24,SVCP,520,T,,1,1639.00,,,,,,0,2710
TREADWAY,16009391,6,0,BWC-S,09/22/2008,12:36,09/22/2008,12:51,LG,D28.RS,D,3,,7.0,M-,200,0,15,3262,3300,150,,22.00,,60.00,,25,,15,724433,4440465,72445.44025,724433,4440465,2,2.0,28,,21.4,,3.00,,291,,0.00,,4.8,,,,,,,0,1,0,0,0,0,0,0,1,0,,0,,32,,1,1,13,SVCP,90,T,1,1,,,,,,,0,2704
COON HOLLOW,16009504,6,0,SCB,08/10/2009,13:25,08/10/2009,13:40,LG,D11.RS,D,2,,5.0,M-,200,0,15,5597,5510,190,,29.00,,60.00,,25,,15,766683,4490465,76670.49025,766683,4490465,2,1.0,19,,27.5,,1.50,,748,,0.20,,6.8,,,,,,,0,3,1,0,0,0,0,0,0,0,,0,,131,,1,1,58,SVCP,350,T,1,4,,,,,,,0,2706
COON HOLLOW,16009504,6,0,SCB,08/10/2009,13:25,08/10/2009,13:40,LG,D11.RS,D,2,,5.0,M-,200,0,15,5597,5510,190,,29.00,,60.00,,25,,15,766683,4490465,76670.49025,766683,4490465,2,1.0,19,,27.5,,1.50,,748,,0.20,,6.8,,,,,,,0,3,1,0,0,0,0,0,0,0,,0,,131,,1,1,79,SVCP,350,T,1,2,,,,,,,0,2706
SUGAR CREEK,16009510,6,0,SCB,08/12/2009,11:35,08/12/2009,11:50,LG,D15.RS,D,2,,5.0,M-,200,0,15,5510,5400,200,,27.00,,60.00,,25,,15,722783,4441865,72280.44165,722783,4441865,2,1.0,17,,27.6,,2.00,,731,,0.22,,6.2,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,102,,1,1,83,SVCP,350,T,1,1,,,,,,,0,2706
CLEAR LAKE,16009532,6,0,MCB-U,08/18/2009,11:25,08/18/2009,11:40,LG,D3.RS,D,2,,5.0,M-,200,0,15,5683,5600,200,,28.00,,60.00,,25,,15,757483,4477815,75750.47760,757483,4477815,2,1.0,16,,27.8,,0.60,,765,,0.05,,6.9,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,44,,1,1,28,SVCP,360,T,1,1,,,,,,,0,2706
LIVERPOOL MC,16009563,6,0,MCB-U,09/22/2009,12:15,09/22/2009,12:30,LG,D31.RS,D,3,,5.0,M-,200,0,15,5309,5200,200,,26.00,,60.00,,25,,15,756083,4475715,75610.47550,756083,4475715,2,1.0,19,,23.2,,0.80,,760,,0.06,,7.3,,,,,,,0,1,0,0,0,1,0,0,0,0,,0,,47,,1,1,19,SVCP,317,T,,1,313.00,,,,,,0,2706
MATANZAS,16008442,6,1,BWC-S,08/11/2006,11:00,08/11/2006,11:15,LG,F352A.R,D,2,,5.0,M-,200,0,15,3881,4000,200,,20.00,,60.00,,25,,15,745383,4457765,74540.45755,745383,4457765,1,1.0,19,,26.0,,0.50,,415,,0.05,,5.5,,,,,,,0,3,1,0,0,0,0,0,0,1,,0,,256,,1,1,23,SVCP,550,T,1,1,, ,  ,          M,,,0,2601
LIL Towhead,16008861,6,0,SCB,08/10/2007,08:25,08/10/2007,08:40,LG,D8.RS,D,2,,5.0,M-,200,0,15,5900,5700,190,,30.00,,60.00,,25,,15,750183,4467765,75020.46755,750183,4467765,2,1.0,20,,30.2,,1.50,,777,,0.20,,4.0,,,,,,,0,4,0,0,0,0,0,0,1,0,,0,,189,,1,1,2,SVCP,660,T,1,1,,,,,,,0,2701
Bath Fixed,16009062,6,2,SCB,10/12/2007,09:10,10/12/2007,09:25,LG,I113.0T,D,3,,5.0,M-,200,0,15,5269,5400,225,,24.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,1,1.0,29,,20.2,,0.70,,799,,0.10,,7.6,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,153,,1,1,19,SVCP,613,T,,1,2628.00,,,,,,0,2701
EDWARD STATI,16009135,6,0,MCB-U,08/05/2008,12:00,08/05/2008,12:15,LG,D34.RS,D,2,,5.0,M-,200,0,15,5578,5550,185,,30.00,,60.00,,25,,15,782684,4499515,78270.49930,782684,4499515,2,1.0,16,,27.0,,1.00,,758,,0.19,,,0,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,7401,,1,1,16,SVCP,70,T,1,133,,,,,,,0,2704
LIVERPOOL,16009198,6,0,MCB-U,10/20/2008,12:31,10/21/2008,08:52,LG,M20.RS,M,3,,5.0,M-,,20,21,,,,,,,,,,,15,754933,4475415,75495.47520,754933,4475415,2,2.0,26,,15.3,,0.70,,750,,0.00,,5.0,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,419,,1,1,142,SVCP,70,T,1,1,,,,,,,0,2704
COPPERAS,16009344,6,0,SCB,08/29/2008,10:27,08/29/2008,10:42,LG,D8.RS,D,2,,5.0,M-,200,0,15,5523,5270,170,,31.00,,60.00,,25,,15,762833,4483515,76285.48330,762833,4483515,2,2.0,18,,26.3,,0.70,,761,,0.10,,4.6,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,43,,1,1,11,SVCP,210,T,1,1,,,,,,,0,2704
CLEAR LAKE,16006012,6,0,BWC-O,06/20/2001,07:30,06/21/2001,07:15,LG,X1.RS,X,1,,5.0,M-,,23,45,,,,,,,,,,,15,759633,4478265,75965.47805,759633,4478265,1,0.2,25,,25.5,,2.30,,,5,0.00,,8.8,,15.3,,,,,0,1,0,0,0,0,0,0,0,0,,0,2,34,450,2,1,13,SVCP,280,,1,2,,,,,450,12,0,2101
bath chute,16007906,6,0,SCB,09/21/2004,12:40,09/21/2004,12:55,LG,D12.RS,D,3,,5.0,M-,200,0,15,4869,4940,190,,26.00,,60.00,,25,,15,739333,4449615,73935.44940,739333,4449615,1,1.0,12,,23.4,,0.70,,664,,0.02,,4.4,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,166,,1,1,102,SVCP,323,T,,1,334.00,,,,,,0,2401
LIVERPOOL,16008107,6,0,MCB-U,08/02/2005,10:20,08/02/2005,10:35,LG,D5.RS,D,2,,5.0,M-,200,0,15,6512,6300,180,,35.00,,60.00,,25,,15,756233,4476165,75625.47595,756233,4476165,2,1.0,32,,29.9,,1.00,,894,,0.02,,5.7,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,84,,1,1,28,SVCP,490,T,1,1,, ,  ,          I,,,0,2501
RM 126,16013690,6,0,MCB-U,09/27/2018,11:22,09/27/2018,11:37,LG,D8.RS,D,3,,5.0,M-,200,0,15,5100,5160,215,,24.00,,60.00,,25,,15,752033,4473915,,752033,4473915,2,1.0,37,,22.3,,2.10,,729,,,5,7.2,,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,39,,1,1,1,SVCP,592,T,,1,2148.00,,,,,,0,2716
Peoria TWZ,16013868,6,2,TWZ,10/19/2018,09:12,10/19/2018,09:27,LG,I157.8Vb,D,3,,5.0,M-,200,0,15,4149,4300,215,,20.00,,60.00,,25,,16,277612,4500954,,,,1,1.0,34,,12.1,,4.40,,643,,0.36,9,9.9,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,59,,1,1,25,SVCP,542,T,,1,1563.00,,,,,,0,2716
RM 131,16014474,6,0,MCB-U,08/05/2020,10:34,08/05/2020,10:49,LG,D4.RS,D,2,,5.0,M-,200,0,15,5084,5070,195,,26.00,,60.00,,25,,15,758583,4479015,,758583,4479015,2,1.0,31,,25.9,,1.70,,671,,0.25,,13.8,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,105,,1,1,29,SVCP,634,T,,1,2537.00, ,  ,    F,,,0,2718
Bath Fixed,16012250,6,2,SCB,10/12/2015,08:13,10/12/2015,08:28,LG,I113.0Tb,D,3,,5.0,M-,200,0,15,4877,4800,200,,24.00,,60.00,,25,,15,743477,4455118,74350.45510,743477,4455118,2,1.0,29,,18.3,,2.30,,739,,0.25,,7.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,131,,1,1,56,SVCP,566,T,,1,1870.00,,,,,,0,2713
BORROW,16012552,6,0,SCB,07/05/2016,08:25,07/05/2016,08:40,LG,D14.RS,D,1,,5.0,M-,200,0,15,4880,4140,180,,23.00,,60.00,,25,,15,767133,4491015,76715.49100,767133,4491015,2,1.0,24,,23.9,,1.80,,711,,0.10,,6.0,,,,,,,0,2,1,0,0,1,0,0,0,0,,0,,42,,1,1,3,SVCP,540,T,1,2,,,,,,,0,2714
BATH CHUTE,16013054,6,0,SCB,08/14/2017,11:39,08/14/2017,11:54,LG,D17.RS,D,2,,5.0,M-,200,0,15,5225,5400,200,,27.00,,60.00,,25,,15,743233,4453215,,743233,4453215,2,1.0,21,,26.4,,1.50,,700,,0.24,,6.1,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,185,,1,1,12,SVCP,480,T,1,5,,,,,,,0,2715
Bath Fixed,16013396,6,2,SCB,09/25/2017,10:07,09/25/2017,10:22,LG,I113.0Ta,D,3,,5.0,M-,200,0,15,5919,5890,190,,31.00,,60.00,,25,,15,743477,4455118,,743477,4455118,2,1.0,22,,27.0,,2.90,,826,,0.07,,4.9,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,74,,1,1,32,SVCP,574,T,,1,2012.00,,,,,,0,2715
BATH CHUTE,16013410,6,0,SCB,09/25/2017,09:12,09/25/2017,09:27,LG,D17.RS,D,3,,5.0,M-,200,0,15,5904,5760,180,,32.00,,60.00,,25,,15,743533,4455765,,743533,4455765,2,1.0,22,,27.2,,2.10,,823,,0.20,,5.2,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,117,,1,1,58,SVCP,613,T,,1,2468.00,,,,,,0,2715
CAT DITCH,16013685,6,1,BWC-S,09/28/2018,10:10,09/28/2018,10:25,LG,F35A.RS,D,3,,5.0,M-,200,0,15,5163,4935,235,,21.00,,60.00,,25,,15,775183,4494415,,775183,4494415,2,1.0,29,,21.9,,2.40,,743,,0.00,,7.7,,,,,,,0,2,0,0,0,1,0,0,0,1,,0,,105,,1,1,13,SVCP,556,T,,1,1263.00,,,,,,0,2716
Bath Fixed,16011095,6,2,SCB,09/07/2012,09:11,09/07/2012,09:26,LG,I113.0Tb,D,2,,5.0,M-,200,0,15,5633,5600,200,,28.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,1.0,25,,27.0,,1.70,,769,,0.10,,3.7,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,50,,1,1,19,SVCP,480,T,1,1,,,,,,,0,2709
RM 139,16011214,6,0,MCB-U,07/12/2013,11:22,07/12/2013,11:37,LG,D1.RS,D,1,,5.0,M-,200,0,15,5393,5400,200,,27.00,,60.00,,25,,15,764183,4488665,76420.48845,764182,4488665,2,1.0,22,,28.3,,1.50,,708,,0.25,,6.2,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,129,,1,1,2,SVCP,500,T,1,1,,,,,,,0,2710
Bath Fixed,16011303,6,2,SCB,09/16/2013,08:14,09/16/2013,08:29,LG,I113.0Ta,D,3,,5.0,M-,200,0,15,5628,5670,210,,27.00,,60.00,,25,,15,743477,4455118,74350.45490,743476,4455118,1,1.0,16,,22.6,,2.60,,829,,0.20,,3.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,85,,1,1,7,SVCP,595,T,,1,2209.00,,,,,,0,2710
RM 132,16011314,6,0,MCB-U,09/19/2013,10:06,09/19/2013,10:21,LG,D4.RS,D,3,,5.0,M-,200,0,15,5984,6020,215,,28.00,,60.00,,25,,15,759733,4479965,75975.47975,759732,4479965,2,1.0,21,,24.0,,0.80,,888,,,5,4.2,,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,215,,1,1,2,SVCP,495,T,,1,1354.00,,,,,,0,2710
POWERTON D,16011367,6,1,BWC-S,10/24/2013,10:34,10/24/2013,10:49,LG,F30A.RS,D,3,,5.0,M-,200,0,15,4798,4715,205,,23.00,,60.00,,25,,15,781034,4494115,78105.49390,781034,4494115,2,1.0,26,,11.4,,0.90,,851,,0.00,,9.7,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,96,,1,1,16,SVCP,480,T,1,1,,,,,,,0,2710
MATANZAS,16011537,6,1,BWC-S,09/05/2013,14:33,09/05/2013,14:48,LG,F174A.RS,D,2,,5.0,M-,200,0,15,4187,4140,230,,18.00,,60.00,,25,,15,746183,4458765,74620.45855,746182,4458765,2,1.0,17,,28.5,,0.80,,465,,0.01,,9.2,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,334,,1,1,19,SVCP,480,T,1,1,,,,,,,0,2710
Bath Fixed,16010711,6,2,SCB,06/22/2012,07:21,06/22/2012,07:36,LG,I113.0Ta,D,1,,8.0,M-,200,0,15,6151,5265,195,,27.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,1.0,18,,27.3,,2.10,,872,,0.34,,6.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,41,,1,1,4,SVCP,460,T,1,1,,,,,,,0,2709
Peoria TWZ,16010874,6,2,TWZ,09/28/2012,08:52,09/28/2012,09:07,LG,I157.8Va,D,3,,5.0,M-,200,0,15,5318,5280,220,,24.00,,60.00,,25,,16,277612,4500954,78510.50290,785073,4503092,1,1.0,20,,18.2,,3.50,,846,,0.11,,10.9,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,65,,1,1,4,SVCP,467,T,,1,1039.00,,,,,,0,2709
TREADWAY,16010937,6,1,BWC-S,10/23/2012,08:57,10/23/2012,09:12,LG,F299A.RS,D,3,,5.0,M-,200,0,15,4884,4830,230,,21.00,,60.00,,25,,15,722133,4438365,72215.43815,722133,4438365,2,1.0,24,,16.0,,1.80,,775,,0.01,,11.1,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,78,,1,2,22,SVCP,554,T,,1,1950.00,,,,,,0,2709
TOWHEAD,16010980,6,1,SCB,07/02/2012,09:28,07/02/2012,09:43,LG,C15A.RS,D,1,,5.0,M-,200,0,15,6101,6090,210,,29.00,,60.00,,25,,15,749933,4467665,74995.46745,749933,4467665,2,1.0,19,,30.1,,1.20,,817,,0.06,,4.2,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,66,,1,1,2,SVCP,510,T,1,1,,,,,,,0,2709
TOWHEAD,16010980,6,1,SCB,07/02/2012,09:28,07/02/2012,09:43,LG,C15A.RS,D,1,,5.0,M-,200,0,15,6101,6090,210,,29.00,,60.00,,25,,15,749933,4467665,74995.46745,749933,4467665,2,1.0,19,,30.1,,1.20,,817,,0.06,,4.2,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,66,,1,1,20,SVCP,460,T,1,1,,,,,,,0,2709
LIVERPOOL DI,16011094,6,1,BWC-S,09/06/2012,13:19,09/06/2012,13:34,LG,F125A.RS,D,2,,5.0,M-,200,0,15,5541,5535,205,,27.00,,60.00,,25,,15,755683,4475265,75570.47505,755683,4475265,2,1.0,18,,29.4,,1.00,,724,,0.00,,8.5,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,57,,1,1,27,SVCP,520,T,1,1,,,,,,,0,2709
Powerton MC,16009981,6,0,MCB-U,10/20/2010,09:13,10/20/2010,09:28,LG,D31.RS,D,3,,5.0,M-,200,0,15,5175,5000,200,,25.00,,60.00,,25,,15,778684,4494765,77870.49455,778684,4494765,2,1.0,32,,15.9,,1.80,,849,,0.08,,8.0,,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,39,,1,1,6,SVCP,510,T,1,1,,,,,,,0,2707
CLEAR LAKE,16010239,6,0,BWC-S,06/15/2011,10:13,06/15/2011,10:28,LG,D30.RS,D,1,,5.0,M-,200,0,15,4568,4440,185,,24.00,,60.00,,25,,15,761683,4479415,76170.47920,761683,4479415,2,1.0,42,,22.5,,1.90,,643,,0.01,,5.4,,,,,,,0,3,1,0,0,0,0,0,1,0,,0,,20,,1,1,17,SVCP,490,T,1,1,,,,,,,0,2708
N OF COP CK,16010311,6,1,MCB-U,07/14/2011,11:39,07/14/2011,11:54,LG,B18A.RS,D,1,,5.0,M-,200,0,15,4700,4680,180,,26.00,,60.00,,25,,15,766583,4490665,76660.49045,766583,4490665,2,1.0,24,,28.9,,2.00,,705,,0.31,,2.3,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,111,,1,1,25,SVCP,610,T,1,1,,,,,,,0,2708
BATH CHUTE,16010378,6,0,SCB,08/03/2011,12:27,08/03/2011,12:42,LG,D19.RS,D,2,,5.0,M-,200,0,15,5457,5460,195,,28.00,,60.00,,25,,15,741033,4450615,74105.45040,741033,4450615,2,1.0,20,,32.3,,2.00,,672,,0.29,,3.3,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,35,,1,1,13,SVCP,490,T,1,1,,,,,,,0,2708
RM 127,16010399,6,0,MCB-U,08/12/2011,09:30,08/12/2011,09:45,LG,D4.RS,D,2,,5.0,M-,200,0,15,5408,5500,220,,25.00,,60.00,,25,,15,753183,4474415,75320.47420,753183,4474415,2,1.0,27,,27.5,,1.00,,711,,0.25,,5.0,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,111,,1,1,3,SVCP,450,T,1,1,,,,,,,0,2708
S OF GRAPE,16010405,6,1,MCB-U,08/16/2011,12:21,08/16/2011,12:36,LG,A22A.RS,D,2,,5.0,M-,200,0,15,5518,5432,194,,28.00,,60.00,,25,,15,715883,4431565,71590.43135,715883,4431565,2,1.0,26,,26.9,,3.00,,746,,0.27,,5.0,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,125,,1,1,21,SVCP,490,T,1,1,,,,,,,0,2708
